date,state,cases_pct,deaths_pct,people_fully_vaccinated_per_hundred,variants_total
2020-02-23,California,2.2989233886335097e-07,0.0,,
2020-02-23,Illinois,1.5598802542324036e-07,0.0,,
2020-02-23,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-23,Nebraska,5.775005775005775e-06,0.0,,
2020-02-23,Texas,1.4344529417850585e-07,0.0,,
2020-02-23,Washington,1.3709267025812905e-07,0.0,,
2020-02-23,Wisconsin,1.7305846572594393e-07,0.0,,
2020-02-24,Arizona,1.4395355482507123e-07,0.0,,
2020-02-24,California,2.8097952527742896e-07,0.0,,
2020-02-24,Illinois,1.5598802542324036e-07,0.0,,
2020-02-24,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-24,Nebraska,6.3000063000063e-06,0.0,,
2020-02-24,Texas,3.586132354462646e-07,0.0,,
2020-02-24,Washington,6.854633512906453e-07,0.0,,
2020-02-24,Wisconsin,1.7305846572594393e-07,0.0,,
2020-02-25,Arizona,1.4395355482507123e-07,0.0,,
2020-02-25,California,2.8097952527742896e-07,0.0,,
2020-02-25,Illinois,1.5598802542324036e-07,0.0,,
2020-02-25,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-25,Nebraska,6.825006825006825e-06,0.0,,
2020-02-25,Texas,3.586132354462646e-07,0.0,,
2020-02-25,Utah,3.283694813404042e-07,0.0,,
2020-02-25,Washington,6.854633512906453e-07,0.0,,
2020-02-25,Wisconsin,1.7305846572594393e-07,0.0,,
2020-02-26,Arizona,1.4395355482507123e-07,0.0,,
2020-02-26,California,6.641334233830139e-07,0.0,,
2020-02-26,Illinois,1.5598802542324036e-07,0.0,,
2020-02-26,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-26,Nebraska,6.825006825006825e-06,0.0,,
2020-02-26,Texas,3.586132354462646e-07,0.0,,
2020-02-26,Utah,3.283694813404042e-07,0.0,,
2020-02-26,Washington,6.854633512906453e-07,0.0,,
2020-02-26,Wisconsin,1.7305846572594393e-07,0.0,,
2020-02-27,Arizona,1.4395355482507123e-07,0.0,,
2020-02-27,California,6.641334233830139e-07,0.0,,
2020-02-27,Illinois,1.5598802542324036e-07,0.0,,
2020-02-27,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-27,Nebraska,6.825006825006825e-06,0.0,,
2020-02-27,Texas,3.586132354462646e-07,0.0,,
2020-02-27,Utah,3.283694813404042e-07,0.0,,
2020-02-27,Washington,6.854633512906453e-07,0.0,,
2020-02-27,Wisconsin,1.7305846572594393e-07,0.0,,
2020-02-28,Arizona,1.4395355482507123e-07,0.0,,
2020-02-28,California,6.896770165900529e-07,0.0,,
2020-02-28,Illinois,1.5598802542324036e-07,0.0,,
2020-02-28,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-28,Nebraska,6.825006825006825e-06,0.0,,
2020-02-28,Oregon,2.44981372841316e-07,0.0,,
2020-02-28,Texas,3.9447455899089104e-07,0.0,,
2020-02-28,Utah,3.283694813404042e-07,0.0,,
2020-02-28,Washington,9.596486918069033e-07,0.0,,
2020-02-28,Wisconsin,1.7305846572594393e-07,0.0,,
2020-02-29,Arizona,1.4395355482507123e-07,0.0,,
2020-02-29,California,7.152206097970919e-07,0.0,,
2020-02-29,Illinois,2.3398203813486055e-07,0.0,,
2020-02-29,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-29,Nebraska,6.825006825006825e-06,0.0,,
2020-02-29,Oregon,2.44981372841316e-07,0.0,,
